Species,12S,16S,cytb,CXCR4,H3A,NCX1,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Amietia_fuscigula,DQ347065,DQ283069,NA,NA,DQ284105,NA,NA,DQ347290,DQ283794,NA,NA,DQ347198
Amietia_vertebralis,DQ283402,AY255097,NA,NA,DQ284383,NA,NA,NA,NA,DQ282860,NA,DQ283004
Amnirana_albolabris,DQ022317,DQ283369 ,NA,NA,DQ284354,NA,NA,NA,DQ283989,NA,NA,NA
Amnirana_galamensis,DQ347032,DQ283058,NA,NA,NA,NA,NA,DQ347260,AY322238,NA,NA,AY341749
Amnirana_lepus,DQ019584,AY014377,NA,NA,NA,NA,NA,AY571641,NA,NA,NA,NA
Amolops_bellulus,DQ204429,DQ204473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_chunganensis,AB211454,DQ204476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_cremnobatus,AB211460,AF206458,NA,NA,NA,NA,NA,EF088236,NA,NA,NA,EU076758
Amolops_daiyunensis,AB211451,DQ204479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_granulosus,AB211458,DQ204480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_hainanensis,EF453725,DQ204481,NA,NA,NA,NA,NA,DQ019495,NA,NA,NA,NA
Amolops_hongkongensis,AF206072,AF206453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_jinjiangensis,EF453726,EF453741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_kangtingensis,EF453727,EF453742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_larutensis,DQ347053,EU604191,NA,NA,NA,NA,NA,DQ347279,DQ347398,NA,NA,DQ347186
Amolops_liangshanensis,EF453728,EF453743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_lifanensis,DQ359981,DQ204482,NA,NA,NA,NA,NA,NA,DQ360034,NA,NA,DQ360065
Amolops_loloensis,AF206112,AF206493,NA,NA,NA,NA,NA,NA,DQ360008,NA,NA,DQ360039
Amolops_mantzorum,DQ359970,DQ204484,NA,NA,NA,NA,NA,EF088240,DQ360023,NA,NA,DQ360054
Amolops_marmoratus,AB211463,DQ204485,NA,NA,NA,NA,NA,EF088241,NA,NA,NA,EU076763
Amolops_panhai,AB211465,AB211487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_ricketti,AB211452,AF206454,NA,NA,NA,NA,NA,EF088242,DQ360009,NA,NA,EU076764
Amolops_spinapectoralis,AF206076,AF206457,NA,NA,NA,NA,NA,EF088243,NA,NA,NA,EU076765
Amolops_torrentis,EF453729,EF453744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_viridimaculatus,AB211457,DQ204490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amolops_wuyiensis,AB211453,DQ204491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphiuma_means,GQ368656,FJ951270,FJ951335,EF107472,NA,EF107248,FJ951366,AY650127,NA,NA,EF107406,NA
Amphiuma_pholeter,NA,FJ951275,FJ951346,NA,NA,FJ951363,FJ951367,AY650128,NA,NA,FJ951421,NA
Amphiuma_tridactylum,DQ283119,DQ283119 ,FJ951356,NA,DQ284165,FJ951361,FJ951368,FJ951369,NA,NA,FJ951419,NA
Andrias_davidianus,AY915966,AY915966,AF255430,NA,NA,AY948847,EU275843,AY650142,NA,NA,AY948911,NA
Andrias_japonicus,DQ283274,DQ283274 ,AB445775,NA,DQ284293,NA,NA,AY583346,NA,NA,NA,NA
Aneides_aeneus,NA,NA,AY691742,NA,NA,NA,NA,AY691701,NA,NA,NA,NA
Aneides_ferreus,NA,DQ105359,NA,NA,NA,NA,EU275845,NA,NA,NA,NA,NA
Aneides_flavipunctatus,AY274757,DQ105355,NC_006327,NA,NA,NA,EU275848,EU275809,NA,NA,NA,NA
Aneides_hardii,NA,NA,NC_006338,NA,NA,NA,EU275811,EU275780,NA,NA,NA,NA
Aneides_lugubris,NA,DQ105350,AY691758,NA,NA,NA,EU275847,EU275807,NA,NA,NA,NA
Aneides_vagrans,NA,DQ105363,NA,NA,NA,NA,EU275846,EU275806,NA,NA,NA,NA
Anhydrophryne_rattrayi,DQ022319,AF215504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anodonthyla_boulengerii,EU341091,EU341091 ,EU341021,NA,NA,NA,NA,EF396072,NA,NA,NA,EF395959
Anodonthyla_hutchisoni,NA,FJ559110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anodonthyla_montana,EU341088,EU341088 ,EU341025,NA,NA,NA,NA,EF396071,NA,NA,NA,EF395960
Anodonthyla_moramora,EU341090,EU341090 ,EU341024,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anodonthyla_nigrigularis,EU341089,EU341089 ,EU341023,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anodonthyla_rouxae,EU341086,EU341086 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anomaloglossus_baeobatrachus,DQ501983,DQ501983 ,DQ502408,NA,NA,NA,NA,DQ503281,NA,DQ503037,NA,NA
Anomaloglossus_beebei,DQ502130,DQ502130 ,DQ502561,NA,NA,NA,NA,DQ503342,DQ503233,DQ503094,NA,NA
Anomaloglossus_degranvillei,DQ502257,DQ502257 ,DQ502689,NA,NA,NA,NA,DQ503300,DQ503188,DQ503051,NA,NA
Anomaloglossus_praderioi,DQ502256,DQ502256 ,DQ502687,NA,NA,NA,NA,DQ503392,NA,DQ503137,NA,NA
Anomaloglossus_roraima,DQ502260,DQ502260 ,DQ502692,NA,NA,NA,NA,DQ503395,DQ503269,DQ503138,NA,NA
Anomaloglossus_stepheni,DQ502108,DQ502108 ,DQ502540,NA,NA,NA,NA,DQ503334,DQ503223,DQ503085,NA,NA
Anomaloglossus_tepuyensis,DQ502128,DQ502128 ,DQ502559,NA,NA,NA,NA,DQ503343,DQ503234,DQ503095,NA,DQ503162
Anotheca_spinosa,AY843566,AY843566,AY843788,NA,DQ284101,NA,AY819110,DQ830928,NA,AY844768,NA,AY844022
Ansonia_fuliginea,AB331709,AB331709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansonia_hanitschi,AB331710,FJ882794,NA,FJ882695,NA,FJ882642,NA,NA,NA,NA,NA,NA
Ansonia_leptopus,FJ882795 ,FJ882795,NA,FJ882697,NA,FJ882644,NA,NA,NA,NA,NA,NA
Ansonia_longidigita,FJ882796 ,FJ882796,NA,FJ882698,NA,FJ882645,NA,NA,DQ283968,DQ282817,NA,NA
Ansonia_malayana,AB331712,AB331712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansonia_minuta,AB435283,AB435283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansonia_muelleri,U52740,U52784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansonia_ornata,FJ882797 ,FJ882797,NA,FJ882694,NA,FJ882641,NA,NA,NA,NA,NA,NA
Ansonia_platysoma,AB435272,AB435272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ansonia_spinulifer,FJ882798 ,FJ882798,NA,FJ882696,NA,FJ882643,NA,NA,NA,NA,NA,NA
Aparasphenodon_brunoi,AY843567,AY843567,AY843789,NA,NA,NA,NA,AY844364,NA,AY844769,NA,AY844023
Aphantophryne_pansa,DQ283195,DQ283195 ,NA,NA,DQ284228,NA,NA,NA,DQ283879,DQ282739,NA,NA
Aplastodiscus_albofrenatus,AY819422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aplastodiscus_albosignatus,AY843596,AY843596,AY843817,NA,NA,NA,NA,AY844385,NA,AY844796,NA,AY844042
Aplastodiscus_arildae,AY843604,AY843604,AY843825,NA,NA,NA,NA,AY844392,NA,AY844803,NA,AY844049
Aplastodiscus_callipygius,AY843614,AY843614,AY843840,NA,NA,NA,NA,AY844402,NA,AY844813,NA,AY844058
Aplastodiscus_cavicola,AY843617,AY843617,AY843843,NA,NA,NA,NA,AY844405,NA,AY844814,NA,NA
Aplastodiscus_cochranae,AY843568,AY843568,AY843790,NA,NA,NA,NA,AY844365,NA,AY844770,NA,AY844024
Aplastodiscus_eugenioi,AY843669,AY843669,AY843913,NA,NA,NA,NA,AY844456,NA,AY844875,NA,NA
Aplastodiscus_leucopygius,AY843638,AY843638,AY843873,NA,NA,NA,NA,AY844425,NA,AY844840,NA,AY844084
Aplastodiscus_perviridis,AY843569,AY843569,AY843791,NA,DQ284044,NA,NA,AY844366,NA,AY844771,NA,AY844025
Aplastodiscus_weygoldti,AY843685,AY843685,AY843931,NA,NA,NA,NA,AY844467,NA,AY844887,NA,NA
Argenteohyla_siemersi,AY843570,AY843570,AY843792,NA,DQ284064,NA,NA,AY844367,NA,AY844772,NA,AY844026
Aromobates_nocturnus,DQ502154,DQ502156 ,DQ502592,NA,NA,NA,NA,NA,DQ503243,DQ503107,NA,NA
Aromobates_saltuensis,DQ502274,DQ502274 ,DQ502705,NA,NA,NA,NA,DQ503406,DQ503280,NA,NA,NA
Arthroleptella_bicolor,DQ283070,AY205285,NA,NA,DQ284106,NA,NA,NA,DQ283795,DQ282662,NA,DQ282910
Arthroleptella_drewesii,AY453276,AY454341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptella_landdrosia,AF330244,AY205276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptella_lightfooti,AF330242,AY205282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptella_subvoce,AY205267,AY454343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptella_villiersi,DQ347062,DQ347344,NA,NA,NA,NA,NA,DQ347287,DQ347408,NA,NA,DQ347195
Arthroleptis_adelphus,FJ151141,FJ151141 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_affinis,FJ151155,FJ151154 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_aureoli,FJ151118,EF640990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_francei,FJ151101,FJ151101 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_krokosua,NA,EU350211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_nikeae,FJ151160,FJ151160 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_poecilonotus,FJ151114,FJ151053 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_reichei,FJ151161,FJ151161 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_schubotzi,DQ347006,FJ151116,NA,NA,DQ284264,NA,NA,DQ347238,DQ283910,NA,NA,DQ347140
Arthroleptis_stenodactylus,FJ151099,DQ022343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_sylvaticus,DQ022314,DQ022349,NA,NA,DQ284131,NA,NA,NA,DQ283801,DQ282666,NA,DQ282912
Arthroleptis_taeniatus,DQ283232,DQ283232 ,NA,NA,DQ284262,NA,NA,NA,DQ283907,NA,NA,DQ282954
Arthroleptis_tanneri,DQ022308,FJ151056 ,NA,NA,DQ284405,NA,NA,NA,DQ284028,NA,NA,DQ283020
Arthroleptis_variabilis,DQ347003,FJ151091,AY341737,AY364180,DQ284133,AY948817,NA,AY364210,AY322226,NA,AY948871,AY341756
Arthroleptis_wahlbergii,FJ151052,FJ151052 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthroleptis_xenodactyloides,FJ151103,FJ151103 ,NA,NA,DQ284408,NA,NA,NA,DQ284030,NA,NA,DQ283023
Arthroleptis_xenodactylus,FJ151157,FJ151156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascaphus_montanus,NA,AY523779,DQ087512,NA,NA,NA,NA,AY650146,NA,NA,EF107399,NA
Ascaphus_truei,X86225,DQ283116,AF277330,NA,DQ284162,NA,EU275850,AY323754,DQ347404,NA,AY948893,NA
Assa_darlingtoni,NA,DQ283284,NA,NA,DQ284300,NA,NA,NA,DQ283943,NA,NA,NA
Asterophrys_turpicola,EU100110,EU100226,NA,NA,NA,NA,NA,EF396074,NA,NA,NA,EF395961
Astylosternus_batesi,FJ151071,FJ151071 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astylosternus_diadematus,DQ022309,AY341691,AY341735,NA,NA,NA,NA,NA,AY341810,NA,NA,AY341754
Astylosternus_schioetzi,DQ283349,AF124108,AF215490,NA,DQ284340,NA,NA,NA,DQ283976,DQ282826,NA,DQ282974
Atelognathus_jeinimenensis,DQ864528,DQ864547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelognathus_patagonicus,AY843571,AY843571,AY843793,NA,NA,NA,NA,AY844368,AY844545,AY844773,NA,AY844027
Atelopus_bomolochos,AF375482,AF375508,AY995955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_chiriquiensis,U52735,U52780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_flavescens,DQ283259,DQ283259 ,AY995960,NA,DQ284282,NA,NA,NA,DQ283928,DQ282780,NA,EF364359
Atelopus_franciscus,NA,NA,AY995991,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_halihelos,NA,AF375510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_ignescens,NA,NA,AY995950,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_longirostris,NA,AF375511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_peruensis,DQ158419,DQ158419,NA,DQ306495,NA,NA,AY819078,NA,NA,NA,NA,NA
Atelopus_pulcher,NA,EU672973,AY995953,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_seminiferus,NA,EU672976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_senex,NA,NA,EF494950,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_spumarius,DQ283260,DQ283260 ,AY995954,GU183852,DQ284283,GU183854,NA,NA,DQ283929,DQ282781,NA,NA
Atelopus_spurrelli,DQ502200,DQ502200,NA,NA,NA,NA,NA,DQ503380,NA,NA,NA,NA
Atelopus_varius,AY325996,AY325996,EF494953,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_zeteki,NA,DQ283252,EF494920,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aubria_subsigillata,DQ283350,DQ283173,NA,NA,DQ284341,NA,NA,NA,DQ283865,DQ282724,NA,DQ282975
Austrochaperina_derongo,EU100116,EU100232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbourula_busuangensis,HM769265,HM769265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbourula_kalimantanensis,HM769263,HM769263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barycholos_pulcher,EU186727,EU186709,NA,NA,NA,NA,NA,EU186744,NA,NA,NA,EU186765
Barycholos_ternetzi,NA,DQ283094,NA,NA,DQ284144,NA,NA,NA,DQ283810,NA,NA,DQ282921
Barygenys_exsul,EU100119,EU100235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barygenys_flavigularis,NA,AY948767,NA,NA,NA,AY948845,NA,AY948943,NA,NA,AY948909,NA
Batrachoseps_attenuatus,AY032923,EU011482,FJ417823,NA,NA,NA,NA,EU020160,NA,NA,NA,NA
Batrachoseps_campi,NA,NA,U89626,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_diabolicus,NA,EU011256,AF057550,NA,NA,NA,NA,EU020163,NA,NA,NA,NA
Batrachoseps_gabrieli,NA,EU011248,EU011249,NA,NA,NA,NA,EU020161,NA,NA,NA,NA
Batrachoseps_gavilanensis,NA,EU011260,EU011261,NA,NA,NA,NA,EU020162,NA,NA,NA,NA
Batrachoseps_gregarius,NA,NA,AF057553,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_kawia,NA,NA,AF057552,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_major,NA,DQ642047,AY691754,NA,NA,NA,EU275855,AY650126,NA,NA,NA,NA
Batrachoseps_nigriventris,NA,EU011252,EU011253,NA,NA,NA,NA,EU020164,NA,NA,NA,NA
Batrachoseps_pacificus,NA,NA,U89623,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_regius,NA,NA,AF057549,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_relictus,NA,NA,AF057551,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_simatus,NA,NA,U89621,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachoseps_wrighti,NA,NA,U89625,NA,NA,NA,NA,EU020165,NA,NA,NA,NA
Batrachuperus_karlschmidti,NA,AY028726,AY028754,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachuperus_londongensis,AY916005,AY593121,AY593135,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachuperus_pinchonii,AY916007,DQ283340,AY593142,EF017998,DQ284330,EF018023,NA,EF018054,NA,NA,EF107362,NA
Batrachuperus_tibetanus,AY916004,AY916004,EU296381,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachuperus_yenyuanensis,AY916009,AY028734,AY593145,NA,NA,NA,NA,NA,NA,NA,NA,NA
